weights,algorithm,room_count,correct_percent
distance,knn_euclidean,2,1.8518518518518519
distance,knn_euclidean,5,82.22222222222223
distance,knn_euclidean,6,14.814814814814813
distance,knn_euclidean,8,57.407407407407405
distance,knn_euclidean,10,65.33333333333333
distance,knn_euclidean,11,14.14141414141414
distance,knn_euclidean,12,63.888888888888886
distance,knn_euclidean,13,66.66666666666667
distance,knn_euclidean,14,80.55555555555556
distance,knn_euclidean,15,64.81481481481481
distance,knn_euclidean,16,79.86111111111111
distance,knn_euclidean,17,59.80392156862745
distance,knn_euclidean,18,77.1604938271605
distance,knn_euclidean,19,88.88888888888889
distance,knn_sorensen,2,0.0
distance,knn_sorensen,5,82.22222222222223
distance,knn_sorensen,6,16.666666666666664
distance,knn_sorensen,8,62.03703703703704
distance,knn_sorensen,10,64.88888888888889
distance,knn_sorensen,11,14.141414141414142
distance,knn_sorensen,12,65.74074074074075
distance,knn_sorensen,13,67.09401709401709
distance,knn_sorensen,14,83.33333333333333
distance,knn_sorensen,15,67.03703703703702
distance,knn_sorensen,16,81.25
distance,knn_sorensen,17,63.725490196078425
distance,knn_sorensen,18,75.51440329218109
distance,knn_sorensen,19,88.88888888888889
uniform,knn_euclidean,2,1.8518518518518519
uniform,knn_euclidean,5,40.0
uniform,knn_euclidean,6,6.172839506172839
uniform,knn_euclidean,8,51.388888888888886
uniform,knn_euclidean,10,57.55555555555556
uniform,knn_euclidean,11,15.151515151515152
uniform,knn_euclidean,12,56.94444444444444
uniform,knn_euclidean,13,64.52991452991452
uniform,knn_euclidean,14,75.79365079365078
uniform,knn_euclidean,15,64.25925925925925
uniform,knn_euclidean,16,75.46296296296296
uniform,knn_euclidean,17,60.13071895424836
uniform,knn_euclidean,18,77.1604938271605
uniform,knn_euclidean,19,88.30409356725146
uniform,knn_sorensen,2,0.0
uniform,knn_sorensen,5,40.0
uniform,knn_sorensen,6,6.7901234567901225
uniform,knn_sorensen,8,54.629629629629626
uniform,knn_sorensen,10,57.55555555555556
uniform,knn_sorensen,11,13.131313131313131
uniform,knn_sorensen,12,63.42592592592592
uniform,knn_sorensen,13,66.66666666666667
uniform,knn_sorensen,14,79.76190476190476
uniform,knn_sorensen,15,66.66666666666667
uniform,knn_sorensen,16,78.93518518518519
uniform,knn_sorensen,17,65.03267973856208
uniform,knn_sorensen,18,75.10288065843622
uniform,knn_sorensen,19,88.88888888888889
