algorithm,algorithm_value,correct_percent,weighted_correct_percent
knn_euclidean,1.0,52.18427296080989,55.28255528255528
knn_euclidean,3.0,60.17487729971144,64.61916461916462
knn_euclidean,5.0,61.709389472879074,69.04176904176904
knn_euclidean,7.0,60.579837652150786,68.55036855036855
knn_euclidean,9.0,58.76832540156291,67.07616707616708
knn_euclidean,11.0,57.98245930687328,66.58476658476658
knn_euclidean,13.0,57.29448411679726,66.0933660933661
knn_euclidean,15.0,56.357316942235116,65.6019656019656
knn_sorensen,1.0,51.34211348629747,55.52825552825553
knn_sorensen,3.0,59.446652676528835,65.1105651105651
knn_sorensen,5.0,62.931334194823805,69.77886977886978
knn_sorensen,7.0,61.32973458061914,69.28746928746929
knn_sorensen,9.0,60.65513140601597,68.30466830466831
knn_sorensen,11.0,59.88745463833921,68.55036855036855
knn_sorensen,13.0,59.894349704057795,68.7960687960688
knn_sorensen,15.0,56.71282884396551,66.58476658476658
svm_linear,0.001,51.67987766815719,61.17936117936118
svm_linear,0.005,49.89569126632373,59.70515970515971
svm_linear,0.01,49.210861390317376,58.47665847665848
svm_linear,0.05,46.148813494235874,55.52825552825553
svm_linear,0.1,43.282014216556455,51.597051597051596
svm_linear,0.5,41.57245690571652,49.877149877149876
svm_linear,1.0,42.85736101580861,51.351351351351354
svm_linear,5.0,40.74627765472524,49.14004914004914
svm_rbf,0.001,35.188752964073615,43.98034398034398
svm_rbf,0.005,38.80763425478153,47.174447174447174
svm_rbf,0.01,38.41622640959218,47.42014742014742
svm_rbf,0.05,37.814505829322286,45.945945945945944
svm_rbf,0.1,37.02873808092738,47.42014742014742
svm_rbf,0.5,52.104852320022594,63.14496314496314
svm_rbf,1.0,53.930782692171455,64.61916461916462
svm_rbf,5.0,50.44505973165858,59.45945945945946
