algorithm_value,correct_percent,weighted_correct_percent
0.1,58.72655834508998,66.0933660933661
0.2,59.11147898001061,66.33906633906633
0.3,59.53100273356797,66.58476658476658
0.4,58.00182702206143,65.1105651105651
0.5,58.37250559652151,65.35626535626535
0.6,59.61567599681266,67.07616707616708
0.7,59.49221245362334,66.58476658476658
0.8,60.42753873724683,67.32186732186732
0.9,58.89790036981545,65.6019656019656
1,60.54353385324195,66.83046683046683
10,59.647562239225216,66.33906633906633
2,60.08164950436069,67.32186732186732
3,59.16876856251027,66.58476658476658
4,58.746928497813066,66.33906633906633
5,57.8904473824863,65.1105651105651
6,59.63691782687802,66.33906633906633
7,59.019351980762856,66.0933660933661
8,60.50550325638782,67.32186732186732
9,58.414628506291486,65.35626535626535
None,58.60135698249365,65.84766584766585
log2,58.183310743018836,65.1105651105651
sqrt,58.700703542366526,65.6019656019656
