weights,algorithm,algorithm_value,room_name,room_count,correct_percent
distance,knn_euclidean,1,WH_C_334,19,84.21052631578947
distance,knn_euclidean,1,WH_C_335,18,66.66666666666666
distance,knn_euclidean,1,WH_C_340,8,37.5
distance,knn_euclidean,1,WH_C_350,18,16.666666666666664
distance,knn_euclidean,1,WH_C_351,14,78.57142857142857
distance,knn_euclidean,1,WH_C_352,6,33.33333333333333
distance,knn_euclidean,1,WH_C_353,2,0.0
distance,knn_euclidean,1,WH_C_354,15,53.333333333333336
distance,knn_euclidean,1,WH_C_355,13,53.84615384615385
distance,knn_euclidean,1,WH_C_356,8,62.5
distance,knn_euclidean,1,WH_C_357,12,66.66666666666666
distance,knn_euclidean,1,WH_C_401,13,69.23076923076923
distance,knn_euclidean,1,WH_C_402,15,26.666666666666668
distance,knn_euclidean,1,WH_C_403,10,50.0
distance,knn_euclidean,1,WH_C_404,12,50.0
distance,knn_euclidean,1,WH_C_405,6,50.0
distance,knn_euclidean,1,WH_C_406,8,62.5
distance,knn_euclidean,1,WH_C_414,16,87.5
distance,knn_euclidean,1,WH_C_424,16,75.0
distance,knn_euclidean,1,WH_C_442,10,50.0
distance,knn_euclidean,1,WH_C_444,14,64.28571428571429
distance,knn_euclidean,1,WH_C_445,17,41.17647058823529
distance,knn_euclidean,1,WH_C_446,5,100.0
distance,knn_euclidean,1,WH_C_447,6,50.0
distance,knn_euclidean,1,WH_C_455,11,9.090909090909092
distance,knn_euclidean,1,WH_C_456,18,44.44444444444444
distance,knn_euclidean,1,WH_C_457,16,68.75
distance,knn_euclidean,1,WH_C_458,17,41.17647058823529
distance,knn_euclidean,1,WH_C_606,15,73.33333333333333
distance,knn_euclidean,1,WH_C_624,2,0.0
distance,knn_euclidean,1,WH_C_625,15,60.0
distance,knn_euclidean,1,WH_C_635,10,50.0
distance,knn_euclidean,1,WH_C_638,10,40.0
distance,knn_euclidean,1,WH_C_639,2,50.0
distance,knn_euclidean,1,WH_C_640,10,60.0
distance,knn_euclidean,5,WH_C_334,19,89.47368421052632
distance,knn_euclidean,5,WH_C_335,18,83.33333333333334
distance,knn_euclidean,5,WH_C_340,8,75.0
distance,knn_euclidean,5,WH_C_350,18,61.111111111111114
distance,knn_euclidean,5,WH_C_351,14,78.57142857142857
